# open,high,low,close
3.500991058349609375e+01,3.504418182373046875e+01,3.513115692138671875e+01,3.517684936523437500e+01
3.534597396850585938e+01,3.534292221069335938e+01,3.544818115234375000e+01,3.551295089721679688e+01
3.611795425415039062e+01,3.603783798217773438e+01,3.617838668823242188e+01,3.628623580932617188e+01
3.744230270385742188e+01,3.724344253540039062e+01,3.743827819824218750e+01,3.761547851562500000e+01
3.934013366699218750e+01,3.899085235595703125e+01,3.925747680664062500e+01,3.952405929565429688e+01
4.175180053710937500e+01,4.123759841918945312e+01,4.159000396728515625e+01,4.195421218872070312e+01
4.454961013793945312e+01,4.387702941894531250e+01,4.432434463500976562e+01,4.477938079833984375e+01
4.756964874267578125e+01,4.676502609252929688e+01,4.731101608276367188e+01,4.783568191528320312e+01
5.064668655395507812e+01,4.975049972534179688e+01,5.039348983764648438e+01,5.095663833618164062e+01
5.363818740844726562e+01,5.269768524169921875e+01,5.343072128295898438e+01,5.399725723266601562e+01
5.643862915039062500e+01,5.550058364868164062e+01,5.631200408935546875e+01,5.684890747070312500e+01
5.897239685058593750e+01,5.807888793945312500e+01,5.895315551757812500e+01,5.943239212036132812e+01
6.119393157958984375e+01,6.037942123413085938e+01,6.129832077026367188e+01,6.169897079467773438e+01
6.308769989013671875e+01,6.237705230712890625e+01,6.332123184204101562e+01,6.363097763061523438e+01
6.465882110595703125e+01,6.406719207763671875e+01,6.501768493652343750e+01,6.523239898681640625e+01
6.592089080810546875e+01,6.545539093017578125e+01,6.639463043212890625e+01,6.651630401611328125e+01
