# open,high,low,close
5.241434860229492188e+01,5.232184600830078125e+01,5.275054168701171875e+01,5.113011550903320312e+01
5.269969177246093750e+01,5.256840133666992188e+01,5.296455764770507812e+01,5.141063690185546875e+01
5.376603317260742188e+01,5.351872253417968750e+01,5.385702514648437500e+01,5.246225738525390625e+01
5.596810150146484375e+01,5.551101303100585938e+01,5.579672622680664062e+01,5.463381576538085938e+01
5.954103851318359375e+01,5.878379058837890625e+01,5.906225204467773438e+01,5.815813064575195312e+01
6.459287261962890625e+01,6.346332168579101562e+01,6.381505584716796875e+01,6.314585876464843750e+01
7.110913085937500000e+01,6.956364440917968750e+01,7.008967590332031250e+01,6.958837127685546875e+01
7.897560882568359375e+01,7.700341033935546875e+01,7.780616760253906250e+01,7.737807464599609375e+01
8.800485229492187500e+01,8.562675476074218750e+01,8.679239654541015625e+01,8.633261871337890625e+01
9.795923614501953125e+01,9.522267150878906250e+01,9.680841064453125000e+01,9.621681976318359375e+01
1.085754928588867188e+02,1.055468521118164062e+02,1.075747833251953125e+02,1.067672958374023438e+02
1.195811691284179688e+02,1.163381805419921875e+02,1.187950286865234375e+02,1.177099761962890625e+02
1.307167968750000000e+02,1.273405303955078125e+02,1.301824035644531250e+02,1.287837677001953125e+02
1.417437438964843750e+02,1.383132934570312500e+02,1.414728546142578125e+02,1.397492980957031250e+02
1.524538879394531250e+02,1.490424346923828125e+02,1.524374542236328125e+02,1.503992919921875000e+02
1.626734161376953125e+02,1.593461303710937500e+02,1.628876190185546875e+02,1.605623474121093750e+02
