# open,high,low,close
3.996216201782226562e+01,3.877807998657226562e+01,3.998917770385742188e+01,3.960158920288085938e+01
4.035050201416015625e+01,3.917019271850585938e+01,4.038280487060546875e+01,3.995980072021484375e+01
4.156362915039062500e+01,4.039826583862304688e+01,4.161946105957031250e+01,4.109533309936523438e+01
4.386152648925781250e+01,4.272600555419921875e+01,4.398304748535156250e+01,4.327997589111328125e+01
4.730452728271484375e+01,4.621357727050781250e+01,4.754934310913085938e+01,4.659957504272460938e+01
5.177099609375000000e+01,5.073622894287109375e+01,5.219886779785156250e+01,5.096173095703125000e+01
5.699892044067382812e+01,5.602790069580078125e+01,5.766003417968750000e+01,5.613099288940429688e+01
6.265317153930664062e+01,6.175035858154296875e+01,6.358001327514648438e+01,6.179047393798828125e+01
6.840557098388671875e+01,6.757426452636718750e+01,6.960899353027343750e+01,6.761763000488281250e+01
7.397446441650390625e+01,7.321824645996093750e+01,7.544412994384765625e+01,7.332523345947265625e+01
7.912692260742187500e+01,7.844980621337890625e+01,8.083466339111328125e+01,7.866823577880859375e+01
8.369745635986328125e+01,8.310352325439453125e+01,8.560155487060546875e+01,8.346444702148437500e+01
8.759297180175781250e+01,8.708576202392578125e+01,8.964283752441406250e+01,8.760204315185546875e+01
9.078247833251953125e+01,9.036418914794921875e+01,9.292357635498046875e+01,9.103213500976562500e+01
9.327861022949218750e+01,9.294937896728515625e+01,9.545704650878906250e+01,9.375259399414062500e+01
9.513201141357421875e+01,9.488951873779296875e+01,9.729802703857421875e+01,9.580242919921875000e+01
